,Unnamed: 0,ID,Name,Date,Title,Review,Rating,Movie Name,Theatres
31,31,/tt14993250,divineflame06,28 July 2023," Wholesome entertainer
","Too good and a wholesome entertainer. Extremely witty and funny dialogues with a very good screenplay and gorgeous art design. The film looks extremely lavish and pretty and has the content to back it. Absolutely firecracker of a cast. Shabana Azmi, Jaya Bacchan and Aamir Bashir are the backbones of the film. Terrific acting by them. Dharam paaji without even saying anything shows how potent acting is without dialogues. The first time he mouths a full sentence, I got literal goosebumps. Ranveer is an absolute firecracker as he gets into his own element and owns the character of Rocky Randhawa. He shows his comic range as well as emotional range with aplomb. Alia goes toe to toe with him as their chemistry is sizzling. All the talk after watching the video of 'tum kya mile' about their non existent chemistry goes down the drain once both of them appear in the frame together. 1st half is a laughter riot and the second half takes over a more serious tone and touches upon some serious issues which are handled well given how mainstream the film is and who has made it. The film is just a shade under 180 mins but I never for a second gets boring. This is easily Kjo's best work. Go watch it and have a fun, relaxing and chill weekend. You won't regret this purebred Bollywood style masala family entertainer.Jaya Bachchan saying ' keh dia na bas keh dia.' Literal chills man!","





9/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
32,32,/tt14993250,shaikhirshad-41223,28 July 2023," A Decent Entertainer......
","Karan Johar returns to the direction after a long gap and this time he delivers a romantic story which has more laughter & emotions then romance. In past times Karan has delivered blockbuster movies like KKKG & KKHH and this film also goes on a same track but the it couldn't hold the audience till the end. Talking about the storyline some scenes is superbly shot like there are tons of Comedy dialogues & funny scenes which will audience definitely enjoy and laugh but still it'll give you same vibes as his rest of his films. There is long list of Star cast and all have given an amazing performance and that's what keeps you hooked to this film. RANVEER SINGH shines throughout the film though he doesn't have charm of romantic hero type but still he gives his 100% and proves that he is still in the race.ALIA BHATT another powerful performance by her but this time she is in 2nd spot because Ranveer has totally stole the limelight. Both the lead cast have some amazing scenes with powerful dialogue conversation which is amazing to watch. Dharmendra & Shabana Azmi first of all it's great to see Old Actors after such a longtime but still they have short roles not much but they are very much impactful..
Supporting cast has also done justice to their characters, Songs are average but DHOLIDA song definitely give you chills because that scene is amazing to see. Karan Johar always known for focusing on Grand & Colourful sets which is quite good to see but it doesn't required if you doesn't have a proper & unique story to tell.All n all it's a proper family Entertainer with an average story you can definitely watch it for one time.....","





6/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
33,33,/tt14993250,cifarshayar,29 July 2023," Not an Amar Prem Kahani
","Knowing that Karan Johar is coming back with a movie directed by him is always exciting but this one is not what I expected from him. Yes it has large scale, big sets, big multistar cast but an important thing is missing that a good story. A concept inspired from Subhash Ghai's Saudagar mixed with recently released Jio Cinema's Ishq-e-Nadaan sprinkled with badly sung evergreen songs (why didn't he use old songs in background with original voices) and added K3G like drama.Dharmendra, Shabana Azmi and Alia Bhat are only saving grace. Good music and songs which are always highlight of KJo movies are also missing barring only Tum Kya Mile.","





5/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
34,34,/tt14993250,harpreetc,29 July 2023," Loved every moment of it.
","I knew I'd like the movie. Because I am an Alia fan. Because I love old school family dramas. Because I enjoy Karan Johar's direction and vision. I ended up loving the movie.RR has all the masala and the twists for a Bollywood hit. And it feels like a hit without a single macho punch being pulled anywhere on screen. It also hit close to home for very personal reasons. There are simply too many similarities right now between my life and various episodes in the film. I think that's important for a good movie. And that's why I loved it - because I connected with it.The story is simple. An intelligent, self-made, independent, educated woman falls in love with a rich, loud, narcissistic, lovable, carefree man. Families realise the disparity and the lovers decide to test themselves in each other's spaces for a few months.In the midst of it all, you throw in a septuagenarian romance that's links the families further. A matriarch who governs with an iron hand (already done in Ram Leela with a far greater flair) but this doesn't include physical but emotional violence. A house governed by ambition and a quest for material prosperity. The other house governed by freedom and a quest for intellectual betterment and acceptance.The movie doesn't just tackle the romance and the odds of the hero and heroine. But interlinked within the families, each character struggles to find a voice or realises that the voice they were using could be biased at best and cruel at worst, as well.The film has both Pride and Prejudice. It's a subtle encapsulation of how people look down upon people, how we form prejudices based on past experiences and why it is important to realise our own trauma and make peace with due apologies. Every person in the movie is flawed. And growth happens with the realisation of these flaws and seeking to better one's self through mature decisions. The only abrupt change that seemed jarring was the write-off they gave Dhanlakshmi, Jaya's character. But in a way, it was for the best, because it was in keeping with her character that the change wasn't radical or real, but implied off-screen.Dharmendra and Jaya Bachchan are brilliantly cast in characters just made for them. Shabana steals the screen when she is on it, as the woman who experienced true love for a few days that lasted a lifetime. She battled abuse and raises a son who is different from the typical idea of what a man should be and do, in India. This is brave (uncannily) and well handled by Karan. The scene where Alia's father is ridiculed speaks to every boy who grows up different in a patriarchal society. Ranveer's Rocky wears an outfit that's vomit green as he laughs with the crowd. I noticed it, Karan.The monologue Rocky gives addressing the ridicule Rani's father faced, after a Kathak performance, is worth an honourable mention. It speaks of the need to understand not just what is considered woke in the modern day world but also the dangers of cancel culture that circles around it. For those who say that never happens to men who are into classical dance, you truly either live in a different world or choose to ignore the problems that are very much around in this world.Rani's character excels in her confrontation with Rocky's father. It is the frustration of all liberal mentality that reaches a crescendo there. The dangers of that is almost as bad as the despotic power that Dhanlakshmi holds over her entire family. Almost. But not quite.The costumes were extensions of the characters. Rani was mostly dressed in the most beautiful sarees, since Sridevi's performance in English Vinglish. Red being her colour and the implication of red being the colour of true love and passion, given it being the colour of the most sensitive character, of Rocky's grandfather, essayed by Dharmendra. It is perhaps the colour that flares out when poetry is ousted by industry. Rocky thus wears a riot of colours, because he has it all in him and Ranveer can carry off all of them because he knows he can.There are a multitude of old song covers. Mostly from a favourite film of mine, Hum Dono. And the songs set to the OST of the movie are not particularly engaging but they work for the tempo of the movie. My favourite is actually not the title song but Ve Kamleya.All in all, I end with my personal opinion that Karan Johar has written a wonderful script. He has applied himself once again to creating a family drama for the modern world and he has succeeded. The movie is exemplary for the fact that it speaks of breaking away from issues that do not truly matter and finding ground in a world that is trying to find a place for each person's uniqueness.","





9/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
35,35,/tt14993250,mayanklouteriya,28 July 2023," A weekend entertainer - - Review By itsbymayank
",Ranveer is the charm and all actors (family) done a good work.See this Movie is same like karan Johar's old movie style and bit Kabhi Khushi Kabhi Gam kinda stuff. There was a father in K3G and now here in this one the mother who is rude and all.Karan Johar did good work no doubt But not impressive but ya because of the lead actors and supportive actors were too good.Story's heart is in the right place.When you have all good actors around than the project works automatically.One time watch or two time. You decide. I'll say a worth weekend entertainer.Personally i personally don't wach karan Johar works much. But this attract me.. Thumbs up to the team.Don't go for mix review or bad review. Its your choice.. I'll say watch it once.Review of Rocky Aur Rani ki prem kahani - itsbymayank - Mayank Bharat Bhushan Louteriya.,"





6/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
36,36,/tt14993250,oazam-94021,28 July 2023," Not the ""Kahaani"" you'd expect from Karan Johar
","The B-wood industry has been yearning for one thing and one thing only - MONEYYY! This is an evident example of how talentless people steal the spotlight for those who have been trying to pursue their passion but can't thanks to the veterans who have been loaded for their children.So this is a film that centers around 2 characters from different cultural/traditional backgrounds.Meet Rocky Randhawa and Rani ChatterjeeRocky comes from a stereotypical but affluent Punjabi background that consists of his parents Tijori and Poonam, his grandparents Kanwal and Dhanlakshmi, and his sister Gayathri a.k.a Golu. Dhanlakshmi runs a ""mithai"" empire and is considered the matriarch of the house with lack of respect for her daughter-in-law.Rani comes from a conservative and traditional Bengali background that consists of her parents Chandon and Anjali, and her grandmother Jamini. She is a news anchor by profession while her mother is a literature professor and her dad, a Kathak dancing instructor while Jamini runs the household.The fall in love element comes into play due to the past history of Kanwal and Jamini as they were in love a long time ago but due to their differences, they couldn't be together. So coincidentally, Rocky and Rani meet, fall in love, and decide to get marriedDue to the family's oppositions, they decide to switch places to prove their worthiness and how their fate is what forms their love story along with healing the past and the present of the Randhawas.Okay, might seem like a decent plot but the film focuses too much on the family drama aspect rather than the romantic aspect of the film that was supposed to be there. The screenplay was completely erratic and convoluted to a very high extent that tethered to the highest of predictability levels.First a fall in love scenario and then the rest of the 90-100 mins on the family drama aspect. So it's like ADHM & HSKD in the beginning, then K3G & BKD in the middle, and lastly spice it up with a copied KKHH and 2-states climax.So it's a hybrid from KJo's filmography. A typical ending to any KJo film, the guy wins the girl after all the maafi's have been done from both respective families .This is clearly apparent how originality is diminishing from the face of this industry and how nepotism is being heavily triggered and this film is a clear example of this issue. Exploitation, nothing else.When it comes to performances, this is one aspect that can be accepted as both the lovebirds performed immaculately in their roles.Ranveer Singh was able to display a flamboyant persona on screen while Alia Bhatt was subtle and nuanced and did make herself leave a decent impression in front of the audience.The veterans Jaya Bachchan, Dharmendra, and Shabana Azmi were also good in their respective roles and managed to bring a bit of that spark in this confusing film.Jaya Bachchan reminded me of Yash Raichand, Dharmedra acted almost like Rishi Kapoor from Kapoor & Sons while Shabana Azmi acted like Farida Jalal from KKHH.Dharmedra portrayed a aging and amnesiac grandfather with not many dialogues but his presence was doable.Supporting cast were fine but Aamir Bashir's role reminded me of Ronit Roy from 2 States. Same anger and attitude along with that complacent personality.Pritam has made quite a comeback with some decent tunes but What Jhumka was a bit too much despite its slight peppiness it adds as original music exists for a reason. Tum Kya Mile and Ve Kamleya were the major highlights of this album and the melodious voice of Arijit managed to add some magic to this film.Cinematography was fine and the editing was decent but could've been more crisper since ADHM looked better than this. Wish KJo wrote this rather than having his pay-rolled staff pen this confusion and have him sit in front of the camera. This is exploitationOverall, Karan Johar needs to see the potential talent in front of him despite how nicely Alia Bhatt and Ranveer Singh performed but the narrative needs work. Too predictable and I think 90% of the audience know your filmography thank you.2.5/5 - A Dharma wound.","





5/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
37,37,/tt14993250,meowkmimosa,1 August 2023," Unbiased and honest review
","To start with, this review is for only those who believe its not right to target any movie or person or bunch of people just because of who they are born to, how they choose to spend their money and whom they choose to love!This movie is a quintessential Karan Johar movie thy has got one thing his movies always are packed with. ENTERTAINMENT!No surprises in terms of story and is quite predictable there. What surprised me is the way it was handled, how honest the writing is and impactful dialogues. At every possible situation i was expecting preachy dialogues but i guess more was achieved by less noise. Ranveer is believable and looks comfortable with the role. Alia has been made to look matured and intellectually sound but it was probably a tad bit over dramatic. However her performance is convincing. Supporting characters are excellent esp Rani's Parents and Rockys mother. Music/Songs are definitely disappointing and a better output would have elevated the movie for sure.Overall an important message packed in a fun, branded and colourful package addressed to everyone around who is at crossroads of gender equality.Quirky note : If only Rekha played Shabana Azmi's role and Amitabh Bacchan played Dharmendra's role, this movie would have surpassed all records by now 😊","





9/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
38,38,/tt14993250,ajayvv-60390,31 July 2023," Full Kadak entertainer - Don't listen to haters
","In short - Movie is full entertainer.This is a fantastic entertainer with not a single minute of boring scene. First half is full of fun, second half is some action, romance, drama etc. Full on Dhamaal movie with great acting by both Ranveer Kapoor and Alia Bhatt.There are certain good messages from the movie, shows some cultural differences. There are more than enough songs however, but I didn't get bored. It's definitely to be watched in theaters for full fun after a long time such movie came. Don't miss it. Do watch it. One of the best from Ranbeer. Bengali folks would like it.Kadak full entertainer.","





10/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
39,39,/tt14993250,mayurmenon,31 July 2023," Rocky, Rani & Kahaani with a message
","With lots of trepidation, I mustered the courage to watch a Hindi film in a movie theater. But to my utter astonishment, I was in for a surprise. This is a good film.The movie cleverly addresses the cancel culture, misogyny, and patriarchy in the Indian milieu, hidden beneath the glitz and glamour of Manish Malhotra's exquisite costumes. It's like tricking a child into swallowing medicine by masking it inside a kool-aid.It serves as an exposé on age-old Indian traditions and gender stereotypes, presented in a format catering to the audience of the past. However, times have changed, and there is no need to disguise the truth anymore. Certainly content wise this is Karan's most progressive work to-date.Still, overall, it's a pleasant watch that one can endure in the confines of a movie theatre. Ranveer Singh shines as brightly as his clothes, adding the bling factor for sure. Alia is effective, supporting cast get their moment and they deliver. Watch it for some good old Bollywood charm, nostalgia aided and embellished by some retro Hindi songs.A paisa- vasool entertainment!","





7/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
40,40,/tt14993250,surajnikhade-81058,30 July 2023," Don't waste money to watch In cinema hall, wait for OTT
","Very boring movie, weak story line. Don't waste money to watch in cinema hall, it won't make much collection and within 2 months it will be on OTT platform. Very poor direction.Don't expect comedy or anything. What is expectation of Alia Bhat from Ranveer or from her life only she knows it. She has problem with everything in life.Very boring movie, weak story line. Don't waste money to watch in cinema hall, it won't make much collection and within 2 months it will be on OTT platform. Very poor direction.Don't expect comedy or anything. What is expectation of Alia Bhat from Ranveer or from her life only she knows it. She has problem with everything in life.","





1/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
41,41,/tt14993250,driftintoflow,28 July 2023," One heck of an emotional and entertaining ride (The one star review bombings need to end)
","This movie has some of the best dialogues I have heard in a while which literally left me LOLing and clapping. Loved Rocky and Rani as well as the cast playing their family members whose dynamics were interesting to watch. Brilliant individual characters. Definitely some social commentary here but those parts are handled entertainingly.It was great to see a film reminiscent of the big budget romantic movies of the past. Great songs, grandeur settings and amazing cast. KJo delivers!I can't take the one star reviews seriously which seem to be in bad faith with deliberate attempt to sabotage the film (a trend lately with Hindi movies?).The review bombers need to stop the hate!","





10/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
42,42,/tt14993250,dhunjiwadia,30 July 2023," KJo reclaims his identity and plays to his strength.
","What does one expect from a Bollywood movie? A couple of hours of escapism. Leaving your brains behind and getting absorbed in a fantasy tale that entertains.Is there anything wrong with having opulent settings, designer clothes, larger than life events, music and colourful song sequences? In fact, that's the heart of Bollywood.Add to that the creme de la creme of actors - Jaya Bachchan, Shabana Azmi, Aamir Bashir and the evergreen, charming Dharmendra. They have so much experience. And abundant talent to showcase. With additional pep from the younger brigade starting with Alia Bhatt and Ranveer Singh. Brazen and blitzy, not lacking any which way in acting chops.KJo reclaims his identity and plays to his strength.RARKPK is not without its faults but it is filled with enough memorable scenes that one can stop complaining.The initial bits were loud and trying a bit too hard while introducing the two leads but after that it's a smooth trip. The first half is full of laughs. The second half is what makes it wholesome. It touches some serious issues which are handled well given how mainstream the film and its maker are.Go ahead and judge me. But I enjoyed the film a lot. Go and see it in theatres. Enjoy an outing with your loved ones.","





6/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
43,43,/tt14993250,krunalpatel11127,28 July 2023," Someone please give me sleeping pills after watching this s***
","""Rocky Aur Rani Kii Prem Kahaani"" marks director Karan Johar's latest venture, and unfortunately, it falls into familiar territory. The film, like some of his previous works, follows a generic storyline with unrealistic melodrama and an excessive focus on family issues, which may not resonate well with everyone. The movie seems to rely heavily on extravagant visuals and locations, possibly trying to capitalize on aesthetics rather than substance.One of the key criticisms that some viewers may have is the promotion of nepotism in the film. It's no secret that Karan Johar has faced scrutiny in the past for his preference for star kids, and this movie seems to perpetuate that image. This could be a significant point of contention for audiences who believe in giving equal opportunities to talent from all backgrounds.While the film may have its drawbacks, it's essential to acknowledge that filmmaking is subjective, and there might be those who enjoy the blend of family drama and glitzy aesthetics. It's still worth noting that some viewers may find the narrative and treatment outdated, given the changing sensibilities of audiences.Overall, ""Rocky Aur Rani Kii Prem Kahaani"" fails to break new ground and feels like an attempt to recreate the same formula used in Karan Johar's earlier movies. Whether it's a hit or miss depends on individual preferences, but it does leave room for a more diverse and inclusive approach to storytelling in Bollywood.","





1/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
44,44,/tt14993250,bunnyparth,31 July 2023," Very Funny and Light
","Ranveer and Alia have a magical chemistry. The dialogues are very funny. Very enjoyable and light movie. Please don't expect a Nolan from a Johar.The movie has some good songs but some are just boring. Overall choreography is on point. Ranveer Singh is a good dancer I must say. Alia's performance is great. Even the support cast in the movie have done a great job. Karan Johar's rich sets, designers cloths, cars, mansions and exuberance can be seen every where. Storyline is thin but catches your attention. The first half is slightly slow but the second half of the movie compensates for the slowness in the first half.There is nothing new under the sun. Just stop complaining n enjoy ppl!","





10/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
45,45,/tt14993250,shama_musani,30 July 2023," Not Kjos best, but great watch nonetheless
","Ranveer started off over the top and loud, but definitely grew on me as the movie went along. Both leads had wonderful chemistry, and looked really good, although I could have done without seeing so much of Ranveers bare chest consistently, no one dresses like that in the real world. Anyway, the implementation of the old Bollywood songs was such a great touch. The songs also looked and sounded much better in the movie, and seen in the storyline. The supporting cast also did a good job. Overall, it was cheesy at times, it was overly dramatic at times, but worth a one time watch. Usually I watch Kjo movies over and over, but this may only be once or twice at home. If you want to see grand sets and an explosion of color, go watch it!","





7/10
",Rocky Aur Rani Kii Prem Kahaani,"['Devi Multiplex - Chennai', 'INOX Chennai', 'SPI Cinemas Sathyam Chennai', 'SPI Escape Multiplex', 'AGS Cinemas - T. Nagar', 'Mayajaal Multiplex', 'Palazzo IMAX', 'PVR Ampa Chennai', 'PVR VR Chennai Anna Nagar', 'S2 Perambur', 'AGS Cinemas - Villivakkam', 'INOX Luxe Phoenix Market City, Velachery', 'INOX National Chandra Metro Mall / Virugambakkam', 'PVR Grand Galada Chennai', 'PVR SKLS Galaxy Mall - Red Hills Chennai', 'PVR Velachery Chennai', 'S2 Theyagaraja Cinema Hall', 'AGS Cinemas - OMR', 'INOX The Marina Mall OMR', 'PVR Heritage RSL ECR Chennai']"
