,index,movie,names,reviews
63,63, pvr velachery chennai , gokul nataraj , i literally think pvr is the best theatre in chennai with sound and seating better than cinepolis and also accessible very easily for us pvr loyalty points is also very useful i d recommend to anyone i havent seen anywhere else they more 
64,64, pvr velachery chennai , indumathi r , new the seats are not comfortable the seats also smelled very bad no hygiene at all audi01 also they will not allow inside pvr till 5 mins before your show starts even if old age people come they need to wait outside more 
65,65, pvr velachery chennai , manikandan ragupathy , new the theatre is maintained properly and the sound systems are good but this one star is for the food counter guys we went as a group of 10 and we have ordered snacks along with the tickets the flim have started and i have more 
66,66, pvr velachery chennai , thirumukilan , best in cinemas and shopping with kids fun activities having dmart street foods available at entry max showroom no more parking more 
67,67, pvr velachery chennai , subaash viswanathan , i like watching movies here seats are comfortable the sound effect is good the screens are of medium size typical pvr food options easily accessible by all modes of the transport restrooms are average and can be improved overall cleanliness is fine 
68,68, pvr velachery chennai , ananth gopal , picture sound quality is awesome good ambience clean hygienic environment 
69,69, pvr velachery chennai , vicky r , watched por thozhil yesterday in this theatre i ve already seen many films in this one they have improved a lot 
70,70, pvr velachery chennai , sukhmay sen , it s a very good place for watching movies with your family it s having amazing sound system there so many shops also where you can buy many things shops like max cromad mart is here also there are too many options for food haldiram more 
71,71, pvr velachery chennai , dinesh kumar a , as every pvr this also is a very well maintained theatre it has 4 screens covid protocols are well maintained more 
72,72, pvr velachery chennai , vinoth kumar ramachandran , 7 months ago very good ambience the most irritating part is we need to use the exit gate after the movie apart from that everything is good 
73,73, pvr velachery chennai , arun viswa hasan p , i recently had the pleasure of visiting pvr movie theater and i must say it exceeded all my expectations from the moment i stepped foot inside the theater i was greeted by a warm and inviting atmosphere here s why i believe pvr is a more 
74,74, pvr velachery chennai , anand kumar , seating was good compared to others theatrealso with slide seats snacks price almost high screening and sound is good more 
75,75, pvr velachery chennai , nikhil bhanushali , new good theatre and yes they do serve the same nachos that you get in mumbai delhi banglore munchies have always been an issue in chennai 
76,76, pvr velachery chennai , sanjay pandiyan , new they won t provide 99rs special offer on week days in every advertisement board they showed about this offer but when you asked for this combo simply they will say this offer not launched and all the food and beverages are too expensive and not worth it for the money we are giving 
77,77, pvr velachery chennai , unlock destiny , a year ago it s really a good cinema experience with well maintained and gives the best in movie experience but the snacks is costly and it d not worth for the money aswell but if you want to have cinema experience with snacks it s up to you 
78,78, pvr velachery chennai , ramesh aravindh , a year ago i don t knw why pvr is not focusing on its projection and soundsystem in pvr grand mall velachery all the screen are medium sized with no atmos dull projections thetre ticket price one ninety rupees for all tamil movies but the experience is does not worth 
79,79, pvr velachery chennai , naveen kumar , 10 months ago pvr velachery in grand mall you tend to get tickets easily than other pvrs the interiors are so dull when you compare to other pvr and compared to other pvr it s less known to others because grand mall is a more 
80,80, pvr velachery chennai , amrutha v , big screen dolby atmos sound speakers the cons are u can t bring food u can bring water in ur water bottles it s really unfair the food items have hefty price more 
81,81, pvr velachery chennai , prajith rajan , poor parking arrangement we had to wait 10 15 mins to enter the underground parking area there is no separate lane for two wheelers and four wheelers the lane is also very narrow only experienced drivers feel okay to park here not recommended for beginners 
82,82, pvr velachery chennai , hem ananth , good ambience with good interiors that gives a good feel to enjoy our time lavishly pvr is best for its 7 1 dolby surround sound which is a most lovable thing 3d glasses are even well cleaned for movies with extra cushion for more 
83,83, pvr velachery chennai , valerian andre , used to be good and a go to theatre nearby lost its charm recently due to non poor management ron t don t understand why you have the option to order online and yet stand in the general queue with everyone else to get f b half your order more 
84,84, pvr velachery chennai , mugunthini , screens are small and it is good cleanliness outside screens can be improved and the parking charges here are high and you won t find any private parkings nearby if you don t wish to park inside 
85,85, pvr velachery chennai , siva pradeep , evenings are extremely busy it took me almost 15 minutes to get into the parking lot from the entrance 4 wheeler it will undoubtedly be packed if you want to visit dmart during the first week of the month particularly on friday or more 
86,86, pvr velachery chennai , dhiyanesh bharathi j , good one movie screens and indoor play area plus point is dmart best compared to other places in chennai and blore parking and entry exit space could be better 
87,87, pvr velachery chennai , deva prakash , experience was not worst and not even good at all went for an anime film one piece red sound is okay but not great in between more 
88,88, pvr velachery chennai , bharath swaminathan , worst experience again with respect to show time and process they follow as per their convenience we are not allowed inside even for 10 10 movie at 10 5 it s supposed to be one sing process to be followed every pvr in any city but why more 
89,89, pvr velachery chennai , sudhahar sivakumaran , nice movie experience the prices of the eatables are a bit high even for mall standard staffs are very customer friendly and helpful no indian chaats available only burgers pizzas etc 
90,90, pvr velachery chennai , parthasarathi rajan , for car parking we need to pay 50 rs per hour they will give a rs100 off coupon for snacks but to use this coupon we need to buy snacks for rs 500 minimum 
91,91, pvr velachery chennai , priya nair , ok in terms of facilities but the way they behaved after producing the corporate booking voucher is pathetic although it s open ticket to buy any snacks of our choice they denied stating none of the snacks available except popcorn and more 
92,92, pvr velachery chennai , ganesh sri , decent audio no atmos yet only 7 1 and video but the auditorium smells stingy can use some air freshener etc to make it pleasant 
93,93, pvr velachery chennai , vignesh saravanan , good entertaining spot for cinema lovers reasonable cost most improved the audio and video quality of the screen snacks assusual most of the theatres inside the snacks are costlier but cinema experience is going good and spending time worthy must try the near by peoples 
94,94, pvr velachery chennai , siddharth ra no sidhue , one of the worst movie theaters in chennai two things i hate the most about this movie theater are 1 they never start the show on time they will open the theater hall 5 10 mins more 
95,95, pvr velachery chennai , suryanarayanan v , movie theater ambience is good and sound effects are nice but snacks rates are very high popcorn rate is high and overrated price 
96,96, pvr velachery chennai , navin subbu , new it s a well maintained cinema hall and the sound effects are also good 
97,97, pvr velachery chennai , sai naveen , parking fees was very expensive for one hour they are taking 50rs but maintenance was worst it s better if govt take action on these malls comparatively hyderabad was better if purchased bill was more than your park fees u no need to pay fees 
98,98, pvr velachery chennai , raghu chaitu , new movie started by 30 mins late cleaning was not done properly no chairs to sit as hundreds of people are standing worst maintenance don t go to pvr and waste your money and time 
99,99, pvr velachery chennai , mohamed rafi , good screens and awesome sound quality but bit on the costlier side in the case of eatables the restroom are well maintained the seats are very comfortable and the provide seat cushions for children overall best movie experience at an affordable price 
100,100, rohini silver screens , shanmugarajan packirisamy , it s located in koyambedu near to metro parking available for car bike for car they are charging 50 rupees as parking fee more 
101,101, rohini silver screens , nitheesh kumar , this is my first visit to this location overall it s a good place but friends suggested this as a mokka theatre the seating arrangement is not well maintained the sound quality was good and there are a lot of cafes available inside more 
102,102, rohini silver screens , kartikeyan p , rukmini screen is big but still that great wow feel of a bigger multiplex is not there i wanted to get a feel of the balcony but had the wall mount speakers interrupting the view while sitting on the extreme edge seat 
103,103, rohini silver screens , aashish kumar , new one of the iconic theatre of chennai i watched oppenheimer in rohini main screen the screen was a bit small in size considering the size of the auditorium apart from it sound quality was top class and seats also felt comfortable the snack prices were not as expensive compared to pvr and other theatre definitely recommended 
104,104, rohini silver screens , arun vfc , theatrical experience good sound quality seats are comfortable but need to clean more 
105,105, rohini silver screens , baranidharan n , movie experience very good in terms of screen clarity and music would be better if screen could maintain in cleaner way 
106,106, rohini silver screens , gokulan a , it has 6 7 screens rohini and rahini are big screens but randhini is very small screen in which the seats are less and it will pillars in between 3d experience is worst here 3d glasses are old with scratches and blurness before booking know the screen in which you re going to see the movie 
107,107, rohini silver screens , abhishek paloli , average sound and screen quality worst seating arrangement and quality of the seat is also worst no proper maintenance no customer lounge customer have to wait outside or to more 
108,108, rohini silver screens , omprakash palvannaperumal , they can improve a lot in terms of screen clarity better seats and most importantly car parking in prime time we have to wait mote than 20 mins on road for getting inside the theatre front gate 
109,109, rohini silver screens , ashwin p , the best place to watch an fdfs recently i watch thunivu movie at mid night 1 o clock but it wasn t looking alike a midnight the fans have gathered in huge numbers and it was a festival like outside to the theatre completely jammed we more 
110,110, rohini silver screens , drramkumarceyar alageshan , new abundant parking spacepopcorn could have been bettertoilets were not clean please correct it 
111,111, rohini silver screens , aravindh kb , the theatre is located from a walkable distance from koyambedu metro station the rohini silver screen was big and the sound effects were very good but the ticket prices are very high compared to other theatres even after many days from the movie release 
112,112, rohini silver screens , rayudu nara , new one positive thing no need to worry about parking 1 area is not looking good more 
113,113, rohini silver screens , sateesh hegde , very good theatre in koyambedu it can give the competition to big multiplexes like agspvrinox theatre is clean and well maintained more 
114,114, rohini silver screens , kiran kumar maasi , 7 months ago felt like watching the dark version of avatar with the 3d glasses on pretty disappointed with the ac temp and the chicken puff gave us a stomach upset the next morning parking is spacious and seats are comfortable 
115,115, rohini silver screens , padmanabhan natarajan , never go to this theatre even if you get free tickets bad experience for me i bought balcony tickets in top most row for comfortable and cool climate but i was sweating throughout the 3 hrs me and few others complained but no use they more 
116,116, rohini silver screens , dhivagar s , rohini is the only one big screen with dolby atmos otherwise other screens are small for me the radhini screen is the worst for hollywood movies rohini is only for a celebration not for movies the worst experience i had at 1am fans show ticket price is too high big hero movies 
117,117, rohini silver screens , senthil kumaran , sound quality is good seating and all worst no maintenance don t watch here 
118,118, rohini silver screens , cram everything , pros inside theatre it s so good lighting effects and sound effects were good seating was much comfort more 
119,119, rohini silver screens , 1092_pradnesh s , pathetic an horrendous experience of watching a movie in this theatre better take this theatre out of your mind the seats are broken ac drain water is leaking inside the cinema hall directly on people s head 
120,120, rohini silver screens , kings man , rohini theatre is one of the worst theatres i have ever been to the seating is cramped and uncomfortable the ticketing process is slow and inefficient the staff response is unhelpful and the washroom is dirty and unhygienic and the main thing is not suitable for family audience avoid this theatre if you can 
121,121, rohini silver screens , ajnas ak , new rohini silver screen theatre offers a mixed experience for moviegoers with its wide car parking multiplex facilities and enthusiastic fan shows while it has several positive aspects there are areas that need improvement to make the more 
122,122, rohini silver screens , foodie shah , had a great experience at rohini silver screen sound effects was exceptional great ambience screen was huge 
123,123, rohini silver screens , krishnaraj d , a perfect place for fans celebration on day 1 especially for the main silver screen alone the ticket price is slight high during initial days of release later normal one restroom sanitation improvement is needed a bit overall one of a best celebration mode theatre 
124,124, rohini silver screens , rahul jayaram , watched movie on rakchini sound and projection is really good seats are also upto the standard restroom is a total mess 
125,125, rohini silver screens , abishek n , new as this is my first time thereit was a fantastic experience there especially the enthusiastic crowd which rohini attracts makes it even more worth it only one negative is the purple lighting which they use often disturbs some portions of the movie 
126,126, rohini silver screens , sai charan , the worst experience with this screen named goldstar the seats were wet and when we asked management they said they washed the seats more 
127,127, rohini silver screens , manjunath rajni , fansfort for a reason very nice theatre experience for the movies from the picture quality to sound do visit if you get the chance 
128,128, rohini silver screens , jonnala midhun kumar , for telugu movies this was the worst please i think sound wise it was ok but screen size was really very small at rohimini this was a name of screen it was really like a tv with best home theater of 120 settings i have zoomed and shooted this video s so don t this it was a big screen 
129,129, rohini silver screens , aravinth priya , we went for the 11 59pm show and got tickets for rupini screen and i think there are 4 screens in the names of ladies nice look not much admirable but had a decent look and it was very much crowded because of the second day after release and it was on saturday 
130,130, rohini silver screens , ranjini nitheesh , sitting chairs are not comfortable if you lean back it s very hard to see the entire screen the sound quality is good there is no seating facility available in the entrance hall snacks are available outside the theatre 
131,131, rohini silver screens , jishnu c , new rohini is going too worst nowadays all 7 screens are too dirty furniture of the theatre is damaged sound quality worst nowadays projection is too dull upgrade to rgb laser worst ambience cheating us by putting pink light over hyped when u resolve everything i will give 5 
132,132, rohini silver screens , rameez m sydeek , the theatre feels like it s a remnant of a glorious past the lobby is dilapidated the washrooms lack the grandeur however the movie halls were fine and the food items available there were comparatively cheaper 
133,133, rohini silver screens , ganesan d , new seating was comfortable had good movie watching experience the snacks all were good especially the egg puff and coffee 
134,134, rohini silver screens , aashiq ahmed , could be the worst theatre in chennaiunlike main screen other halls are maintained worst their chairs are making sounds while adjusting sound quality is averagerestrooms are the worst no maintenance more 
135,135, rohini silver screens , narayanan , overall experience is good popcorn rate and taste is worth for half of its original price there screen size is best more 
136,136, rohini silver screens , lokesh loki , new nice sound dolby sound effects picture quality is good not great there is no rgb projection ticket rate is starting form 150rs to 200 seats are good pullback but in front row you have see screen by lifting your head maintenance more 
137,137, rohini silver screens , saravanaperumal chidambaram , the screen was big but the theater is old and needs maintenance we can see breakages in and around the screens the outside theatre has a good appearance but inside is not up to the mark 
138,138, rohini silver screens , aaditya baruah , new theater is good cheap rates of food as well as ticket but the crowd is somewhat on the louder side compared to pvr s and inox 
139,139, rohini silver screens , shyam sundar , the seats are comfortable tickets are over priced here other theatres except for malls are priced at 110 120 but rohini charges 160 and the staffs are very rude and lethargic the rest rooms cleanliness was very poor they charge 30rs for two wheeler parking 
140,140, rohini silver screens , nandhini b , there are 4 screens here posted image of rukmini screen which is little large but the screen size is good audio is great seating is comfortable and overall good experience in watching movie more 
141,141, rohini silver screens , naveen kumar , overall average theatre screen iookes old one i feld like watching a old movie screen looks dirty sound was goodpopcorn not tastes good as for the price 
142,142, rohini silver screens , santhosh kumar a r l , new equipped with good sound and projection technology this theater is known for its fans celebration the theater management should maintain the auditorium in a cleaned way and should manage huge crowd while celebrations 
143,143, rohini silver screens , parthasarathy rangaraj , the theatre was superb when it was renewed few years before now it is not maintained properly they must keep things hygiene rather than selling popcorns and earning out of it 
144,144, rohini silver screens , siva sankar , except for the rohini main screen with the violet vibrant lights and the second main screen rukmani i would suggest people to not watch on other screens since those don t have a great ambiance inside the screen nor do they provide a great more 
145,145, rohini silver screens , dr srinivas rekapalli , 5 years ago good place just to watch movies average maintenance movie watching experience is nice sounds are well adjusted wash rooms need to be maintained better food is costly but they won t restrict access to out side food parking is reasonably spacious and not that costly for movie lovers it s a good weekend spot 
146,146, rohini silver screens , divianthan s space , select seats in a d rows for best movie viewing experience if you don t like others heads blocking view more 
147,147, rohini silver screens , parameswaran p , parking is 40 rs and if you book a ticket at the theatre counter they change additional money better to book online more 
148,148, rohini silver screens , jinisha jayan , new such an old one with bad seating arrangements had creatures crawling over me while watching movie such a trashy screen had to experience water seeping from the roof no proper sound effects need so much to be updated no proper parking available during weekends and so unfriendly and rude staff watching movie here is an adventure 
149,149, rohini silver screens , fayiz hamdan , don t get fooled by the fancy lights worst movie theatre experience ever screen is so small never can be compared to theatre screen worst seating and dirty theatre hall with no cleaning more 
150,150, inox national chandra metro mall virugambakkam , vijay kamath , the theatre is amazingly clean the surround sound system isn t good enough or loud however i had a nice experience 
151,151, inox national chandra metro mall virugambakkam , jagadeesh sathiyanarayanan , really one of best theatre in city inox experience good sound better my suggestion to go on tuesday to get unlimited popcorn until show ends 
152,152, inox national chandra metro mall virugambakkam , ganesh kumar , may 7 2023 we went movie suddenly power off only volume we hear after 3 times they shown from beginning 
153,153, inox national chandra metro mall virugambakkam , rajan b n , good theater with 6 screening rooms inox is installed with atomos 4k projection more 
154,154, inox national chandra metro mall virugambakkam , abishek p r , new not so properly maintained due to less crowd food are affordable when compared to other multiplex like pvr and screen 1 2 are large screen with good quality and sound systems other 3 screens are smaller ones in screen size other than more 
155,155, inox national chandra metro mall virugambakkam , b n rajan dr , good theater with 6 screening rooms inox is installed with atomos 4k projection more 
156,156, inox national chandra metro mall virugambakkam , bhavan kumar s u , picture quality and sound effects is good but seats were very uncomfortable to sit i went to 5th screeni don t know about other screens more 
157,157, inox national chandra metro mall virugambakkam , venkat krishnan , good simple theatre access is clumsy you need to walk through many stores no proper direction exhibit screen not big seats excellent nicely maintained restrooms okay they suddenly stopped water in the restroom post the show 
158,158, inox national chandra metro mall virugambakkam , udaya sankar , theatre was good sound wise is great dolby atmos speakers 360 audio ambiance was nice comfortable seats and smells good proper checking and screen quality also is good but timing was bit late it took 30 late for show to start 
159,159, inox national chandra metro mall virugambakkam , srinivasan s , new dont use this mall for movie purpose use this mall only for d mart no air conditioner while watching movie and staff was ignorant and not not good more 
160,160, inox national chandra metro mall virugambakkam , raghul p k , it was good than i expected good theatre experience although i sat in the corner seat it sound system is amazing it s not a very big screen but a medium size screen 
161,161, inox national chandra metro mall virugambakkam , jeva nantham , so good screen quality sound effects seat interiors all in all very good that screen inox 
162,162, inox national chandra metro mall virugambakkam , vadivelan shane , ticket price is somewhat lesser than the food and beverages cost i think major source of revenue is coming from selling foods rather than the movie tickets picture and sound quality is okay for the price that we pay restrooms are properly maintained overall the experience is good 
163,163, inox national chandra metro mall virugambakkam , sai prashanth , screen quality was nice sound quality could have been better seats were okish 
164,164, inox national chandra metro mall virugambakkam , dhanesh ponnu , i watched kaantara a legend on 24th of november 2022 as i was new to chennai i took chennai metro from puratchi thalaivar dr m ramachandran chennai metro station to vadapalani which i spent 40 inr and took 20 30 minutes and got a more 
165,165, inox national chandra metro mall virugambakkam , azhagarasan annadorai , theatre is spacious front row seats are not really closer to the screen no need to hesitate booking front row seats even on first day first shows we can stll get tickets for the back row seats no need to book online the mall however is not all that great but good movie watching experience is guaranteed 
166,166, inox national chandra metro mall virugambakkam , bavanesh kumaar rm , theatre ambience is very good apart from that workers attitude is very bad popcorn is 450 rs more 
167,167, inox national chandra metro mall virugambakkam , vicky vikraanth , no ac in reception area i never ever seen this kind of inox very worst and food cost also kill middle class 
168,168, inox national chandra metro mall virugambakkam , sandhya t , new inox has lost its quality and service inside the theater it was literally stunking for sometime the restrooms are not well maintained have this as last option when u book tickets disgusting experience 
169,169, inox national chandra metro mall virugambakkam , ganesan t , went for ps2 movie with big team and enjoyed with pop corn and coke 
170,170, inox national chandra metro mall virugambakkam , saravanaraja rajakani , theatre is neat and fine as usual snacks are 3 to 4 times compared to outside even water bottle is charged 30 rupees in a world where no one can manufacture water of their own 
171,171, inox national chandra metro mall virugambakkam , harsha bezawada , inox theatre is small screen is not good sound system is very low you can t enjoy the sound effects maintenance is not good inox should do some improvements to this theatre because it is not giving inox more 
172,172, inox national chandra metro mall virugambakkam , karthik damodaran , new typing this review even before the movie can start cramped parking space weak ac sweating even before movie has started cool drinks are lacking the fizz and are more like sweet water will not come back to this movie hall 
173,173, inox national chandra metro mall virugambakkam , divianthan s space , pictures quality and dolby atmos sound is configured perfectly comfortable seats if ur confused with finding seat numbers it s mentioned left more 
174,174, inox national chandra metro mall virugambakkam , sethumuthu ramalingam , screen 3 over priced snacks and beverages more 
175,175, inox national chandra metro mall virugambakkam , sankar sherkhan , it is located inside dmart less crowdy theater speakers fine screens could have been more sharp for medium level cost expense yes this venue matches 
176,176, inox national chandra metro mall virugambakkam , jeevagan jee , new hi people don t plan night show here you will have bad experience watching your favourite movies in suffocation yesterday i have been here for a good movie but the suffocation spoiled my moments i tried calling the customer care and more 
