,movie,names,reviews
18,'Cinépolis - CRM Mall Shahdara', ['MUDIT SAXENA'," ""Mall is Good with free parking facility which i haven't got anywhere else in Malls. Great options for kids and good options of food is also available like Haldiram & Mcdonalds."""
19,'Cinépolis - CRM Mall Shahdara', ['Manan khanna', 'I seriously dont like the environment inside the mall. It is totally waste of time as well as money to go there. There are only spa and alcohol shops inside the mall. The crowd as well as the ambience is worst. I advice you all not to go and waste your money there'
20,'Cinépolis - CRM Mall Shahdara', ['Kamlesh Gaur', 'Had a great experience  they can still improve a little upon sound otherwise it was good'
21,'Cinépolis - CRM Mall Shahdara', ['Furkan Ali', 'Good Services and Nice Cinema ' 'Go End Enjoy Latest Release Movies 👌'
22,'Cinépolis - CRM Mall Shahdara', ['Riya Manchanda'," 'Always a bad experience here' ""Movie's start late speakers don't work and they staff kept talking through the side door disturbing between the movie"""
23,'Cinépolis - CRM Mall Shahdara', ['Deepam Gupta', 'Location is perfect but problem is with road to reach there. All screens are well managed in respect to space between seats quality of sound and picture and cleanliness. Overall good experience.'
24,'Cinépolis - CRM Mall Shahdara', ['sandeep pal', 'Everything is good except seats are not comfortable. Cushioning is long gone on these chairs now you can sit cross legged.'
25,'Cinépolis - CRM Mall Shahdara', ['Vineet singhal'," '' '' '' '' '' '' ""It's been a great experience  All staff took a good care of the grand event we organised at this theatre …More"""
26,'Cinépolis - CRM Mall Shahdara', ['shyama ojha'," ""The state of the theatre was good and it was clean too......the only major problem was that they didn't play the National Anthem before the film started.......this is not supposed to happen"""
27,'Cinépolis - CRM Mall Shahdara', ['Ritik Verma', 'Nice Place. But seats are more comfortable but Leg space is not good.'
28,'Cinépolis - CRM Mall Shahdara', ['Hardik Thory'," ""Pretty cool... the tickets are bit overpriced. No doubt the food is expensive af... But overall it's a cool place to watch movies."""
29,'Cinépolis - CRM Mall Shahdara', ['Rohit Mittal', 'Nothing very grand. Good for killing 2 to 3 hours. Not much options for shopping either.'
30,'Cinépolis - CRM Mall Shahdara', ['Sakshi Sirohi', 'Went for a Movie date there and it was an amazing experience with the adjustable seats and big screen ✨.'
31,'Cinépolis - CRM Mall Shahdara', ['Dinesh Sharma', 'Good place to spend time with friends & family members. It is about 1 km walking distance from Kakaduma court metro station.'
32,'Cinépolis - CRM Mall Shahdara', ['Anant', 'Went there to watch Godzilla vs Kong and noticed every precaution is being taken to avoid any Covid possibilities. Sanitizers temperature monitoring & safety shields on the counters everything was present. But the menu has gotten very …More'
33,'Cinépolis - CRM Mall Shahdara', ['Gurjeet Singh', 'Cinepolis always maintains the same quality throughout. Hygienic environment... Friendly staff.'
34,'Cinépolis - CRM Mall Shahdara', ['Aditya Gupta', '' '' '' 'Only vip seat good' 'Rest other seats are worse' 'Audio and video quality is excellent but due to uncomfortable seats the …More'
35,'Cinépolis - CRM Mall Shahdara', ['Ananya Tiwari', 'Worst Cinepolis service.' 'The staff is so rude. Specially the guy called Suhail is extremely rude and doesn’t know how to handle a broken counter. He should be taught manners before letting him operate at the counter.'
36,'Cinépolis - CRM Mall Shahdara', ['puneesh mittal', 'okaish experience i went to watch Spiderman 3D latenight show.. there is nothing to eat although they have this large menu(dont know if they do serve all this at day time or not). Mall has decent parking space so that is one very good thing safe and free parking.'
37,'Cinépolis - CRM Mall Shahdara', ['Ashish Popli', 'Quality maintained..sound and sitting A-1.. good staff and crowd.mostly night shows are occupied by families.Also the eatables are available at cheap rates as compared to other malls.'
38,'Cinépolis - CRM Mall Shahdara', ['Jaspreet Singh', '' 'Just 1 km away from my home. Good place overall! Cinema for 2D is absolutely amazing but when it comes to 3D quality is not that good. Although seats are very comfortable no doubt a good experience but watching in 3D there can be …More'
39,'Cinépolis - CRM Mall Shahdara', ['Vimal Rastogi', 'Rating it 5 stars only because I went to watch a movie and had the premium seats. The kind where a foot rest comes out for you so it was as comfortable as watching it on a bed. The mall itself is just okay. I never go there if i ever feel …More'
40,'Cinépolis - CRM Mall Shahdara', ['Anshpreet Kaur', 'I went to watch Kali jotta on 3rd day of its release and there was not even a single poster of that movie. There were posters of Bollywood movies which was not even released but not even a single trace of kali jotta. Do you have something against punjabi movies?'
41,'Cinépolis - CRM Mall Shahdara', ['manish Kumar', 'This is a good place you can visit with your family but the food in Cinepolis is very very expensivelike popcorn nachos cold drink etc.'
42,'Cinépolis - CRM Mall Shahdara', ['Ankur Saxena'," 'NEW' ""7 PM show and now they are saying that there's a 20 mins delay. Disappointed!! Never coming back."""
43,'Cinépolis - CRM Mall Shahdara', ['Manoj Burman'," 'A nice place to hangout both with friends and family..' 'The movie Hall is quite good...' ""Not much options to eat... There is only McDonald's..."" 'Also Shopping facilities are limited..'"
44,'Cinépolis - CRM Mall Shahdara', ['Dr. Satya Prakash Gautam', '4 years ago' 'Nice movie theatre' 'But snacks are expensive'
45,'Cinépolis - CRM Mall Shahdara', ['Keya Mandal', 'Experience is awesome but some customers make the experience pathetic but Cinepolis has nothing to do with that.'
46,'Cinépolis - CRM Mall Shahdara', ['vipin marwah', 'At the top of the CRM near to the Leela Hotel in East Delhi. Nice place to hang out'
47,'Cinépolis - CRM Mall Shahdara', ['Prashant Vashisth', 'lol cross river has become one of the chappri malls of East Delhi in recent times this mall used to be a nice place to come and do some shopping eat and watch movies. Cinepolis is exorbitantly overpriced in its food menu a bit overpriced …More'
48,'Cinépolis - CRM Mall Shahdara', ['Vasudhar Jha', '' '' '' 'Mind blowing cineplex..' 'But they need to work more on cleaness..' 'There are huge space in theater.. and have comfortable seats.. …More'
49,'Cinépolis - CRM Mall Shahdara', ['Saurav Thakur', 'It was a nice place to spend time with your loved ones. Kind of really liked it 👍👌'
50,'PVR Velachery Chennai', ['Aadhitya'," 'NEW' ""As a theatre the experience is at its finest. Great seats amazing viewing experience and everything. The only downside is that the food is too costly so much that it's pricier than the movie ticket itself. You'll find products mentioned as MRP but still end up paying more than the price which you get outside."" 'So overall 3/5.'"
51,'PVR Velachery Chennai', ['Lava K', '5 months ago' '' '' '' '' '' '' '' '' '' '' '' '' 'The mall is small compared to other but it has many shops inside for shopping and also outside there is stall. PVR theatre is good but the popcorn 🍿 is costly. …More'
52,'PVR Velachery Chennai', ['karthi m', 'looking at a fantastic place and spent with family and friends. .. ambiance is very awesome .... need all over tamilnadu.... chicken nuggets is very tasty..... bag locker is trustworthiness becz of staff Hopefully handle it ... spacious …More'
53,'PVR Velachery Chennai', ['mani nair', 'The PVR is on the 3rd floor of the Grand Mall. The screens and sound effects are good. However the people at the food counter are very reluctant to work. I noticed couple of times they spilled cool drinks and tea. No one is responsive too. …More'
54,'PVR Velachery Chennai', ['Dipankar Chatterjee', 'NEW' '' '' '' '' '' '' 'PVR Grand Mall Velachery exceeded all my expectations! The moment I stepped in I was impressed by the modern and inviting ambiance. The cinema halls were equipped with cutting-edge technology delivering crystal-clear visuals and immersive …More'
55,'PVR Velachery Chennai', ['Hari Haran', 'NEW' 'Everything was fine but personally I felt every food was so costly and everyone could not offer the price in theatres....... There is also play area where you can enjoy n charge 400 per person for a hour ....'
56,'PVR Velachery Chennai', ['Tester T', 'NEW' '' '' '' '' '' '' 'PVR Cinemas at Grand Mall Velachery is a wonderful destination for enjoying movies with your family. The theater provides a great movie-watching experience with comfortable seating and excellent audiovisual quality. …More'
57,'PVR Velachery Chennai', ['Archana Shrivastava', 'NEW' 'This theatre have budget class ticket is available but booking the tickets only in online.The cost of snacks is much costlier than movie ticket  ha..ha...And the theatre experience is worth of the quality of sound effects and 4k hd.'
58,'PVR Velachery Chennai', ['Sheik Dawood', 'The place was very small when compared to the other malls in the city. The D Mart is on the G floor so it was very crowded and there was no place to sit.'
59,'PVR Velachery Chennai', ['Rajkumar Aravindan', '' '' '' '' '' '' '' '' 'PVR Cinemas Velachery is one of the most popular cinemas in Chennai. It has a modern and sophisticated ambiance that makes it a great place to watch a movie. …More'
60,'PVR Velachery Chennai', ['Hemanshu Bhatia', 'a week ago' 'NEW' 'Nice place to watch movies . Screen and capacity are fine but more than the price of tickets the parking charges hurts you. Food Prices inside the PVR Cinemas are as usual very high. Overall a small mall with good shopping decent food options and 5 screen Multiplex .'
61,'PVR Velachery Chennai', ['Thoti Kodandaraman', 'Simply amazing experience in PVR Grand mall _ Thanking to Entire Top to buttom all the staff  ur done a excellent work _ safety _ Neatness _ Discipline _'
62,'PVR Velachery Chennai', ['Just for info All'," ""The only thing is free drinking Water started in the lobby that's very appreciative."" 'But The theatre is uncleaned  and has a dirty seat and floor.   Interval 2 coffee and 2 samoza around 470 rupees. Not worth the money.'"
63,'PVR Velachery Chennai', ['GOKUL NATARAJ'," ""I literally think PVR is the best theatre in chennai.  With sound and seating better than Cinepolis and also accessible very easily for us . Pvr loyalty points is also very useful. I'd recommend to anyone I havent seen anywhere else they …More"""
64,'PVR Velachery Chennai', ['Indumathi R', 'NEW' '' 'The seats are not comfortable the seats also smelled very bad. No hygiene at all(Audi01). Also they will not allow inside PVR till 5 mins before your show starts. Even if old age people come they need to wait outside. …More'
65,'PVR Velachery Chennai', ['Manikandan Ragupathy', 'NEW' '' '' '' 'The theatre is maintained properly and the sound systems are good.' 'But this one star is for the food counter guys. We went as a group of 10 and we have ordered snacks along with the tickets. The flim have started and I have …More'
66,'PVR Velachery Chennai', ['Thirumukilan', '' '' 'Best in cinemas and shopping🛍️💸' 'With kids fun activities..' 'Having Dmart...street foods available at entry...max showroom...no more parking …More'
67,'PVR Velachery Chennai', ['Subaash Viswanathan', 'I like watching movies here. Seats are comfortable. The sound effect is good. The screens are of medium size. Typical PVR food options. Easily accessible by all modes of the transport. Restrooms are average and can be improved. Overall cleanliness is fine.'
68,'PVR Velachery Chennai', ['Ananth Gopal', 'Picture & Sound quality is Awesome. Good ambience. Clean & hygienic environment.'
69,'PVR Velachery Chennai', ['Vicky R'," ""Watched Por Thozhil Yesterday in this Theatre. I've Already Seen Many Films in this one. They have  improved a Lot."""
70,'PVR Velachery Chennai', ['Sukhmay Sen'," ""It's a very good place for watching movies with your family. It's having amazing sound system. There so many shops also where you can buy many things. Shops like Max CromaD mart is here. Also there are too many options for food. Haldiram …More"""
71,'PVR Velachery Chennai', ['Dinesh Kumar A', '' '' '' '' '' '' '' '' '' '' '' '' '' 'As every PVR this also is a very well maintained theatre.' 'It has 4 screens.' 'Covid protocols are well maintained. …More'
72,'PVR Velachery Chennai', ['Vinoth Kumar Ramachandran', '7 months ago' 'Very good ambience. The most irritating part is we need to use the exit gate after the movie. Apart from that everything is good.'
73,'PVR Velachery Chennai', ['Arun viswa hasan P'," '' '' '' '' '' '' '' '' '' '' '' '' ""I recently had the pleasure of visiting PVR Movie Theater and I must say it exceeded all my expectations! From the moment I stepped foot inside the theater I was greeted by a warm and inviting atmosphere. Here's why I believe PVR is a …More"""
74,'PVR Velachery Chennai', ['Anand Kumar', '' '' '' '' '' 'Seating was good compared to others theatrealso with slide seats.' 'Snacks price almost High' 'Screening and sound is good …More'
75,'PVR Velachery Chennai', ['Nikhil bhanushali', 'NEW' 'Good Theatre and Yes they do serve the same Nachos that you get in Mumbai Delhi Banglore. Munchies have always been an issue in Chennai.'
76,'PVR Velachery Chennai', ['Sanjay Pandiyan'," 'NEW' ""They won't provide 99rs special offer on week days. In every advertisement board they showed about this offer but when you asked for this combo simply they will say this offer not launched. And all the food and beverages are too expensive and not worth it for the money we are giving"""
77,'PVR Velachery Chennai', ['Unlock Destiny'," 'a year ago' ""it's really a good cinema experience with well maintained and gives the best in movie experience.. but the snacks is costly and it'd not worth for the money aswell but if you want to have cinema experience with snacks..it's up to you"""
78,'PVR Velachery Chennai', ['Ramesh Aravindh'," 'a year ago' ""I don't knw why pvr is not focusing on its projection and soundsystem. In pvr grand mall Velachery. All the screen are medium sized with no Atmos. Dull projections. Thetre ticket price one ninety rupees for all Tamil movies. But the experience is does not worth."""
79,'PVR Velachery Chennai', ['naveen kumar', '10 months ago' '' '' '' 'PVR Velachery in grand mall you tend to get tickets easily than other PVRs.' 'The interiors are so dull when you compare to other PVR .' 'And compared to other PVR it’s less known to others because GRAND MALL is a …More'
80,'PVR Velachery Chennai', ['Amrutha V'," '' ""Big screen.... Dolby atmos sound speakers..... The cons are U can't bring food... U can bring water in ur water bottles.... It's really unfair..... The food items have hefty price..... …More"""
81,'PVR Velachery Chennai', ['Prajith Rajan', 'Poor parking arrangement. We had to wait 10-15 mins to enter the underground parking area. There is no separate lane for two wheelers and four wheelers. The lane is also very narrow. Only experienced drivers feel okay to park here. Not recommended for beginners.'
82,'PVR Velachery Chennai', ['Hem Ananth', 'GOOD AMBIENCE...with GOOD INTERIORS that gives a good feel to enjoy our time lavishly..PVR is best for its 7.1 Dolby Surround Sound which is a most lovable thing..3D glasses are even well cleaned for movies...with extra cushion for …More'
83,'PVR Velachery Chennai', ['valerian andre'," '' '' ""Used to be good and a go to theatre nearby. Lost its charm recently due to non poor management. Ron't don't understand why you have the option to order online and yet stand in the general queue with everyone else to get f&b. Half your order …More"""
84,'PVR Velachery Chennai', ['Mugunthini'," 'Screens are small and it is good.' ""Cleanliness outside screens can be improved and the parking charges here are high and you won't find any private parkings nearby if you don't wish to park inside"""
85,'PVR Velachery Chennai', ['Siva Pradeep', 'Evenings are extremely busy; it took me almost 15 minutes to get into the parking lot from the entrance(4 wheeler). It will undoubtedly be packed if you want to visit Dmart during the first week of the month particularly on Friday or …More'
86,'PVR Velachery Chennai', ['Dhiyanesh Bharathi J', 'Good one. Movie screens and indoor play area.' 'Plus point is DMART - best compared to other places in Chennai and blore.' 'Parking and entry/exit space could be better.'
87,'PVR Velachery Chennai', ['Deva Prakash'," '' '' '' '' '' '' 'Experience was not worst and not even good at all.' '' ""Went for an anime film 'One Piece Red'. Sound is okay but not great. In between …More"""
88,'PVR Velachery Chennai', ['bharath swaminathan'," '' '' ""Worst experience again with respect to show time and process they follow as per their convenience.  We are not allowed inside even for 10.10 movie at 10.5 . It's supposed to be one sing process to be followed every PVR in any city but why …More"""
89,'PVR Velachery Chennai', ['Sudhahar Sivakumaran', 'Nice movie experience.' 'The prices of the eatables are a bit high even for Mall standard.' 'Staffs are very customer friendly and helpful.' 'No Indian chaats available only burgers pizzas etc.'
90,'PVR Velachery Chennai', ['parthasarathi rajan', 'For car parking we need to pay 50 rs per hour. They will give a Rs100 off coupon for snacks. But to use this coupon we need to buy snacks for Rs 500 minimum.'
91,'PVR Velachery Chennai', ['Priya Nair'," '' '' '' '' ""Ok in terms of facilities but the way they behaved after producing the corporate booking voucher is pathetic. Although it's open ticket to buy any snacks of our choice they denied stating none of the snacks available except popcorn and …More"""
92,'PVR Velachery Chennai', ['Ganesh sri', 'Decent audio (no atmos yet only 7.1)and video but the auditorium smells stingy can use some air freshener etc to make it pleasant .'
93,'PVR Velachery Chennai', ['Vignesh Saravanan', 'Good entertaining spot for cinema 🎥 lovers  reasonable cost most improved the audio and video quality of the screen snacks assusual most of the theatres inside the snacks are costlier but cinema experience is going good and spending 💰 time worthy must try the near by peoples'
94,'PVR Velachery Chennai', ['Siddharth Ra No (Sidhue)', '' '' 'One of the worst movie theaters in Chennai. Two things I hate the most about this movie theater are:' '1. They never start the show on time. They will open the theater hall 5-10 mins …More'
95,'PVR Velachery Chennai', ['suryanarayanan v', 'Movie theater ambience is good and sound effects are nice. But snacks rates are very high. Popcorn rate is high and overrated price.'
96,'PVR Velachery Chennai', ['Navin Subbu'," 'NEW' ""It's a well maintained cinema hall. And the sound effects are also good"""
97,'PVR Velachery Chennai', ['sai naveen'," ""Parking fees was very expensive for one hour they are taking 50rs but maintenance was worst .. it's better if govt take action on these malls. Comparatively Hyderabad was better if purchased bill was more than your park fees u no need to pay fees."""
98,'PVR Velachery Chennai', ['raghu chaitu'," 'NEW' ""Movie Started by 30 Mins Late. Cleaning was not done Properly. No Chairs to sit as Hundreds of People are Standing.......Worst Maintenance.......Don't go to PVR and waste your Money and Time."""
99,'PVR Velachery Chennai', ['mohamed rafi', 'Good screens and awesome sound quality. But bit on the costlier side in the case of eatables. The restroom are well maintained. The seats are very comfortable and the provide seat cushions for children. Overall best movie experience at an affordable price 😎🔥'
100,'Rohini Silver Screens', ['Shanmugarajan Packirisamy'," '' '' '' '' '' '' ""It's located in koyambedu near to metro."" 'Parking available for car & bike. For car they are charging 50 rupees as parking fee. …More'"
101,'Rohini Silver Screens', ['Nitheesh Kumar'," ""This is my first visit to this location. Overall it's a good place but friends suggested this as a mokka theatre. The seating arrangement is not well maintained. The sound quality was good and there are a lot of cafes available inside …More"""
102,'Rohini Silver Screens', ['Kartikeyan P', 'Rukmini Screen is big but still that great wow feel of a bigger multiplex is not there. I wanted to get a feel of the balcony but had the wall mount speakers interrupting the view while sitting on the extreme edge seat.'
103,'Rohini Silver Screens', ['Aashish Kumar', 'NEW' 'One of the iconic theatre of Chennai I watched Oppenheimer in Rohini Main Screen. The screen was a bit small in size considering the size of the auditorium. Apart from it sound quality was top-class and seats also felt comfortable. The snack prices were not as expensive compared to PVR and other theatre. Definitely recommended 👍'
104,'Rohini Silver Screens', ['Arun Vfc', '' '' '' '' '' 'Theatrical experience...' 'Good sound quality...' 'Seats are comfortable but need to clean... …More'
105,'Rohini Silver Screens', ['Baranidharan N', 'Movie experience very good in terms of screen clarity and  music. Would be better if screen could maintain in cleaner way.'
106,'Rohini Silver Screens', ['Gokulan A'," 'It has 6-7 screens. Rohini and rahini are big screens.. But randhini is very small screen in which the seats are less and it will pillars in between.. 3D experience is worst here.  3D glasses are old with scratches and blurness.' ""Before booking know the screen in which you're going to see the movie.."""
107,'Rohini Silver Screens', ['Abhishek Paloli', '' '' '' '' '' 'Average sound and screen quality.' 'Worst seating arrangement and quality of the seat is also worst.' 'No proper maintenance no customer lounge customer have to wait outside or to …More'
108,'Rohini Silver Screens', ['omprakash palvannaperumal', 'They can improve a lot in terms of screen clarity better seats and most importantly car parking. In prime time we have to wait mote than 20 mins on road for getting inside the theatre front gate.'
109,'Rohini Silver Screens', ['Ashwin P', '' '' 'The best place to watch an FDFS. Recently I watch Thunivu movie at mid night 1 o clock. But It wasn’t looking alike a midnight. The fans have gathered in huge numbers and it was a festival like outside to the theatre. Completely jammed. We …More'
110,'Rohini Silver Screens', ['drramkumarceyar alageshan', 'NEW' 'Abundant parking spacepopcorn could have been bettertoilets were not clean.please correct it'
111,'Rohini Silver Screens', ['Aravindh kb', 'The theatre is located from a walkable distance from Koyambedu Metro station. The Rohini Silver screen was big and the sound effects were very good. But the ticket prices are very high compared to other theatres even after many days from the movie release.'
112,'Rohini Silver Screens', ['Rayudu Nara', 'NEW' '' '' '' '' '' '' '' '' 'One positive thing no need to worry about Parking.' '' '1. Area is not looking good …More'
113,'Rohini Silver Screens', ['Sateesh Hegde', '' '' '' '' 'Very Good Theatre in Koyambedu.' 'It can give the competition to big multiplexes like AGSPVRiNox.' 'Theatre is clean and well maintained. …More'
114,'Rohini Silver Screens', ['Kiran kumar Maasi', '7 months ago' 'Felt like watching the dark version of avatar with the 3D glasses on. Pretty disappointed with the AC temp and the chicken puff gave us a stomach upset the next morning. Parking is spacious and seats are comfortable'
115,'Rohini Silver Screens', ['Padmanabhan Natarajan', '' 'Never go to this theatre even if you get free tickets. Bad experience for me. I bought balcony tickets in top most row for comfortable and cool climate. But I was sweating throughout the 3 hrs. Me and few others complained but no use. They …More'
116,'Rohini Silver Screens', ['Dhivagar S', 'Rohini is the only one big screen with Dolby Atmos... Otherwise other screens are small...For me the Radhini screen is the worst for Hollywood movies... Rohini is only for a celebration not for movies the worst experience I had at 1am fans show... ticket price is too high big hero movies'
117,'Rohini Silver Screens', ['Senthil kumaran'," ""Sound quality is good. Seating and all worst no maintenance. Don't watch here."""
118,'Rohini Silver Screens', ['Cram Everything'," '' '' ""Pros: Inside theatre it's so good. Lighting effects and sound effects were good. Seating was much comfort. …More"""
119,'Rohini Silver Screens', ['1092_Pradnesh S', 'Pathetic! An horrendous experience of watching a movie in this theatre better take this theatre out of your mind. The seats are broken AC drain water is leaking inside the cinema hall directly on people’s head'
120,'Rohini Silver Screens', ['Kings Man', 'Rohini Theatre is one of the worst theatres I have ever been to. The seating is cramped and uncomfortable the ticketing process is slow and inefficient the staff response is unhelpful and the washroom is dirty and unhygienic. and the main thing is not suitable for family audience Avoid this theatre if you can.'
121,'Rohini Silver Screens', ['Ajnas Ak', 'NEW' '' '' '' '' '' '' '' '' '' '' '' '' 'Rohini Silver Screen theatre offers a mixed experience for moviegoers with its wide car parking multiplex facilities and enthusiastic fan shows. While it has several positive aspects there are areas that need improvement to make the …More'
122,'Rohini Silver Screens', ['Foodie Shah', 'Had a great experience at Rohini silver screen. Sound effects was exceptional. Great ambience. Screen was huge❤️🔥'
123,'Rohini Silver Screens', ['KRISHNARAJ D', 'A perfect place for fans celebration on Day 1 especially for the Main Silver Screen alone the ticket price is slight high during initial days of release later normal one...Restroom sanitation improvement is needed a bit. Overall one of a best celebration mode theatre💯🔥'
124,'Rohini Silver Screens', ['Rahul Jayaram', 'Watched movie on Rakchini   Sound and projection is really good seats are also upto the standard.Restroom is a total mess'
125,'Rohini Silver Screens', ['ABISHEK N', 'NEW' 'As this is my first time thereit was a fantastic experience there especially the enthusiastic crowd which rohini attracts makes it even more worth it. Only one negative is the purple lighting which they use often disturbs some portions of the movie'
126,'Rohini Silver Screens', ['Sai Charan', '' '' 'The worst experience with this screen named GOLDSTAR.' 'The seats were wet and when we asked management  they said they washed the seats. …More'
127,'Rohini Silver Screens', ['manjunath rajni', 'FansFort for a reason. Very nice theatre experience for the movies from the picture quality to sound. Do visit if you get the chance'
128,'Rohini Silver Screens', ['JONNALA MIDHUN KUMAR'," ""For telugu movies this was the worst please i think  sound wise it was ok .but screen size was really very small at (ROHIMINI) this was a name of screen it was really like a TV with best Home theater 😂. Of 120 settings . I have zoomed and shooted this video's so don't this it was a big screen."""
129,'Rohini Silver Screens', ['Aravinth Priya', 'We went for the 11.59pm show and got tickets for Rupini screen and I think there are 4 screens in the names of ladies. Nice look not much admirable but had a decent look and it was very much crowded because of the second day after release and it was on saturday'
130,'Rohini Silver Screens', ['Ranjini Nitheesh'," ""Sitting chairs are not comfortable. If you lean back it's very hard to see the entire screen. The sound quality is good. There is no seating facility available in the entrance hall. Snacks are available outside the theatre."""
131,'Rohini Silver Screens', ['JISHNU C', 'NEW' 'Rohini is going too worst nowadays...all 7 screens are too dirty ... furniture of the theatre is damaged... sound quality 😞 worst nowadays... projection is too dull ... upgrade to RGB Laser.... worst ambience... cheating us by putting pink light 🤣🤣over hyped ... when u resolve everything..I will give 5 🌟'
132,'Rohini Silver Screens', ['Rameez M Sydeek'," ""The theatre feels like it's a remnant of a glorious past. The lobby is dilapidated the washrooms lack the grandeur. However the movie halls were fine and the food items available there were comparatively cheaper."""
133,'Rohini Silver Screens', ['Ganesan D', 'NEW' 'seating was comfortable had good movie watching experience. the snacks all were good especially the egg puff and coffee.'
134,'Rohini Silver Screens', ['Aashiq Ahmed', '' '' 'could be the worst theatre in Chennaiunlike main screen other halls are maintained worst their chairs are making sounds while adjusting sound quality is averagerestrooms are the worst no maintenance . …More'
135,'Rohini Silver Screens', ['Narayanan', '' '' '' '' 'Overall experience is good.' 'Popcorn rate and taste is worth for half of its original price there.' 'Screen size is best …More'
136,'Rohini Silver Screens', ['lokesh loki', 'NEW' '' 'Nice sound 🎧Dolby sound effects picture quality is good not great there is no RGB projection 🙅 ticket 🎟️ rate is starting form 150rs to 200 . Seats are good pullback 💺but in front row you have see screen by lifting your head 😖 maintenance …More'
137,'Rohini Silver Screens', ['Saravanaperumal Chidambaram', 'The screen was big but the theater is old and needs maintenance. We can see breakages in and around the screens. The outside theatre has a good appearance but inside is not up to the mark.'
138,'Rohini Silver Screens', ['Aaditya Baruah'," 'NEW' 'Theater is good  cheap rates of food as well as ticket' ""But the crowd is somewhat on the louder side compared to pvr's and inox"""
139,'Rohini Silver Screens', ['shyam sundar', 'The seats are comfortable. Tickets are over priced here( other theatres  except for malls  are priced at 110 -120) but rohini charges 160 and the staffs are very rude and lethargic  the rest rooms cleanliness was very poor they charge 30rs for two wheeler parking.'
140,'Rohini Silver Screens', ['Nandhini B', '' '' 'There are 4 screens here.. Posted image of rukmini screen which is little large but the screen size is good. Audio is great.  Seating is comfortable and overall good experience in watching movie. …More'
141,'Rohini Silver Screens', ['Naveen kumar', 'Overall average Theatre screen Iookes old one(i feld like watching a old movie- screen looks dirty) sound was goodpopcorn not tastes good as for the price.'
